"surfing	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
#	168	5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
#*.sink.ganglia.dmax=jvm.metrics.threadsBlocked=70,jvm.metrics.memHeapUsedM=40	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#*.sink.ganglia.slope=jvm.metrics.gcCount=zero,jvm.metrics.memHeapUsedM=both	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#Default	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#Security	1	5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#datanode.sink.file.filename=datanode-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#datanode.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#jobtracker.sink.file.filename=jobtracker-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#jobtracker.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#log4j.appender.DRFA.MaxBackupIndex=30	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.DRFA.layout.ConversionPattern=%d{ISO8601}	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA.File=${hadoop.log.dir}/${hadoop.log.file}	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA.MaxBackupIndex=30	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA.MaxFileSize=1MB	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA.layout.ConversionPattern=%d{ISO8601}	4	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA.layout=org.apache.log4j.PatternLayout	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.appender.RFA=org.apache.log4j.RollingFileAppender	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.logger.org.apache.hadoop.fs.FSNamesystem=DEBUG	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.logger.org.apache.hadoop.mapred.JobTracker=DEBUG	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#log4j.logger.org.apache.hadoop.mapred.TaskTracker=DEBUG	2	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#maptask.sink.file.filename=maptask-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#maptask.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#namenode.sink.file.filename=namenode-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#namenode.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#new	1	5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
#reducetask.sink.file.filename=reducetask-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#reducetask.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#tasktracker.sink.file.filename=tasktracker-metrics.out	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
#tasktracker.sink.ganglia.servers=yourgangliahost_1:8649,yourgangliahost_2:8649	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
$HADOOP_BALANCER_OPTS"	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_DATANODE_OPTS"	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_HOME/conf/slaves	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_HOME/logs	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_JOBTRACKER_OPTS"	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_NAMENODE_OPTS"	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$HADOOP_SECONDARYNAMENODE_OPTS"	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
$USER	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
%-5p	6	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
%c:	5	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
%c{2}	6	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
%c{2}:	3	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
%m%n	14	5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:
%p	8	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
'	2	2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
'(i.e.	2	2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
'*',	2	2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
'default'	2	2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
'man	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
(%F:%M(%L))	4	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
